Time step [Myr]	XUV Flux [W.m-2]	Mass loss rate (EL) [kg.s-1]
102.534	0.0035237688000000003	1087.916385236054
102.602	0.0035241538	1088.035248825605
102.674	0.003524527	1088.1504693233205
102.749	0.0035249306	1088.2750754135616
102.828	0.0035253574000000004	1088.4068441928355
102.91	0.0035257879	1088.539755297515
102.997	0.0035262607	1088.6857259602157
103.089	0.0035267419	1088.8342900103248
103.185	0.0035272373	1088.9872381201
103.285	0.0035277999	1089.1609333291428
103.391	0.003528339	1089.3273732281739
103.502	0.0035289475000000003	1089.5152394469837
103.618	0.0035295598	1089.7042788648594
103.741	0.0035302068999999996	1089.9040623162837
103.867	0.0035308956000000002	1090.1166892101119
103.985	0.0035315185	1090.3090012359075
104.089	0.0035320667	1090.4782506379643
104.199	0.0035326723000000007	1090.6652215206452
104.314	0.0035332958	1090.8577187883984
104.435	0.0035339352999999994	1091.0551558416914
104.562	0.0035346165	1091.265467211048
104.696	0.0035353097000000006	1091.479483419559
104.836	0.0035360808000000007	1091.7175502089171
104.983	0.0035368440999999995	1091.953208852824
105.136	0.0035376782999999995	1092.2107569214043
105.288	0.0035384648000000006	1092.4535782543446
105.434	0.003539271	1092.7024816982303
105.578	0.0035400195000000003	1092.9335710405132
105.715	0.0035407491	1093.1588252611273
105.844	0.0035414535	1093.3762993195162
105.976	0.003542141600000001	1093.5887409713866
106.104	0.0035428375	1093.8035907687072
106.229	0.0035434921	1094.0056897446038
106.352	0.0035441506	1094.2089927932254
106.447	0.0035446640000000003	1094.3674981617332
106.547	0.0035451962	1094.5318077782501
106.652	0.003545761500000001	1094.706336576103
106.763	0.0035463482000000005	1094.8874723371146
106.879	0.0035469687	1095.0790433950792
107.001	0.0035476193000000002	1095.2799074245906
107.128	0.0035483103	1095.49324441259
107.263	0.0035490264	1095.7143306891548
107.404	0.0035497724000000002	1095.9446481899472
107.544	0.0035505274	1096.1777443201058
107.681	0.0035512578	1096.4032455299969
107.808	0.0035519406999999998	1096.6140817515666
107.932	0.0035525816999999998	1096.811981909754
108.052	0.0035532486	1097.0178783457843
108.164	0.0035538383000000002	1097.1999403165848
108.273	0.0035544071999999995	1097.3755805661835
108.378	0.0035549867000000007	1097.554493423703
108.48	0.0035555277000000004	1097.721519922267
108.58	0.0035560575000000007	1097.8850885709528
108.671	0.0035565596000000006	1098.0401052159232
108.76	0.003557022	1098.1828650180225
108.846	0.0035574854000000006	1098.3259335567188
108.929	0.0035579301000000004	1098.4632287210652
109.005	0.0035583375000000006	1098.5890080103718
109.084	0.0035587727	1098.7233701770538
109.155	0.0035591549000000004	1098.8413693041355
109.224	0.0035595203	1098.9541816564004
109.291	0.0035598669000000004	1099.061189760656
109.356	0.0035602348999999992	1099.1748048280704
109.42	0.0035605549	1099.2736005388663
