# Age[Myr]   Lxuv[erg.s-1]
3.355672123613271829e+00 7.183516738079143955e+29
3.384403946579871647e+00 7.146348372232681084e+29
3.413381776194498229e+00 7.108874319740961546e+29
3.442607718806991457e+00 7.071092443981464843e+29
3.472083898802105661e+00 7.034447443100152436e+29
3.501812458753955415e+00 6.998020075587537518e+29
3.531795559581708766e+00 6.961293240032766944e+29
3.562035380706689125e+00 6.924264554743541534e+29
3.592534120210783222e+00 6.888167922763832469e+29
3.623293994996239498e+00 6.852472100411008611e+29
3.654317240946772127e+00 6.816482791968780263e+29
3.685606113090103442e+00 6.780197518734082343e+29
3.717162885761899904e+00 6.744661923736404423e+29
3.748989852771046571e+00 6.709681375841139153e+29
3.781089327566408365e+00 6.674413185068570573e+29
3.813463643404977788e+00 6.638854902295852979e+29
3.846115153521503682e+00 6.603950009450072514e+29
3.879046231299500658e+00 6.569798871734233771e+29
3.912259270443785297e+00 6.535366859030158736e+29
3.945756685154500065e+00 6.500651986683209444e+29
3.979540910302543644e+00 6.466495867644624203e+29
4.013614401606586668e+00 6.433283506703472256e+29
4.047979635811593369e+00 6.399797974151251255e+29
4.082639110868809595e+00 6.366037022317709119e+29
4.117595346117351340e+00 6.332601363317490716e+29
4.152850882467362226e+00 6.300160721494681336e+29
4.188408282584657805e+00 6.267453597638780805e+29
4.224270131077028090e+00 6.234477887081093299e+29
4.260439034682101500e+00 6.201603807976706416e+29
4.296917622456851049e+00 6.169738452688833213e+29
4.333708545968647741e+00 6.137610839381861895e+29
4.370814479488022819e+00 6.105218793660030962e+29
4.408238120183082032e+00 6.072727717961191360e+29
4.445982188315509731e+00 6.041437085139960018e+29
4.484049427438330682e+00 6.009889033916346676e+29
4.522442604595315885e+00 5.978081427693794091e+29
4.561164510522155879e+00 5.946040850805209125e+29
4.600217959849255855e+00 5.915267869676402775e+29
4.639605791306354199e+00 5.884241194084132286e+29
4.679330867928894300e+00 5.852958709965558225e+29
4.719396077266075906e+00 5.821418465287312722e+29
