time_yr,Phi_input,Phi_diff_H,Phi_diff_O,Phi_crit,Phi_light,Phi_heavy,Phi_dl,Phi_df,Phi_c,Phi_l,Phi_h,Phi_total
3587174348.6973944,2260.2502190627633,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3597194388.777555,2252.508668733561,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3607214428.857715,2244.8150576708913,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3617234468.9378753,2237.1689570813382,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3627254509.018036,2229.569943180378,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3637274549.098196,2222.0175971202334,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3647294589.178356,2214.511504918968,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3657314629.258517,2207.051257390783,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3667334669.338677,2199.6364500775053,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3677354709.4188375,2192.266683181235,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3687374749.4989977,2184.9415614981394,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3697394789.579158,2177.6606943533543,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3707414829.6593184,2170.423695536988,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3717434869.7394786,2163.2301832412,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3727454909.819639,2156.0797799983284,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3737474949.8997993,2148.9721126200543,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3747494989.9799595,2141.90681213758,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3757515030.06012,2134.8835137427936,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3767535070.1402802,2127.901856730419,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3777555110.2204404,2120.961484441113,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3787575150.300601,2114.0620442055038,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3797595190.380761,2107.2031872891484,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3807615230.4609213,2100.3845688383904,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3817635270.541082,2093.605847827106,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3827655310.621242,2086.866687004318,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3837675350.7014027,2080.1667528426565,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3847695390.781563,2073.505715487663,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3857715430.861723,2066.883248707909,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3867735470.9418836,2060.2990298459217,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3877755511.0220437,2053.7527397698996,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3887775551.1022043,2047.2440628262032,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3897795591.1823645,2040.7726867926046,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3907815631.2625246,2034.3383028322867,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3917835671.342685,2027.9406054485708,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3927855711.4228454,2021.57929244037,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3937875751.5030055,2015.2540648583397,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3947895791.583166,2008.9646269617315,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3957915831.6633263,2002.7106861759194,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3967935871.7434864,1996.4919530505942,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3977955911.823647,1990.3081412186227,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3987975951.903807,1984.1589673555395,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
3997995991.983968,1978.0441511396764,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4008016032.064128,1971.9634152129147,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4018036072.144288,1965.9164851420403,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4028056112.2244487,1959.9030893807067,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4038076152.304609,1953.9229592319768,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4048096192.3847694,1947.9758288114485,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4058116232.4649296,1942.0614350109454,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4068136272.5450897,1936.1795174627614,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4078156312.6252503,1930.3298185044596,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4088176352.7054105,1924.5120831441996,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4098196392.7855706,1918.7260590266014,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4108216432.8657312,1912.9714963991219,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4118236472.9458914,1907.2481480789434,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4128256513.0260515,1901.555769420363,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4138276553.106212,1895.894118282669,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4148296593.1863723,1890.262954998511,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4158316633.266533,1884.662042342733,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4168336673.346693,1879.0911455016812,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4178356713.426853,1873.5500320429662,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4188376753.507014,1868.0384718856758,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4198396793.587174,1862.5562372710358,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
4208416833.6673346,1857.1031027334946,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,7783781499610963.0,1.2354436528995616e+17,-7.846051738369973e+32,-12354436.508151183,778378.1486478149,-11576058.359503368
