# Age[Myr]   Lxuv[erg.s-1]
3.355672123613271829e+00 1.248467973801999201e+30
3.384403946579871647e+00 1.242046058987664915e+30
3.413381776194498229e+00 1.235829060448790742e+30
3.442607718806991457e+00 1.229744898758646619e+30
3.472083898802105661e+00 1.223607229270473813e+30
3.501812458753955415e+00 1.217415587816925023e+30
3.531795559581708766e+00 1.211379221847085282e+30
3.562035380706689125e+00 1.205453504531980567e+30
3.592534120210783222e+00 1.199475513789496474e+30
3.623293994996239498e+00 1.193444769160177831e+30
3.654317240946772127e+00 1.187520569582393935e+30
3.685606113090103442e+00 1.181717581917777045e+30
3.717162885761899904e+00 1.175862744829460411e+30
3.748989852771046571e+00 1.169955590300144774e+30
3.781089327566408365e+00 1.164103326272924098e+30
3.813463643404977788e+00 1.158380826334603391e+30
3.846115153521503682e+00 1.152606683168085655e+30
3.879046231299500658e+00 1.146780474950459592e+30
3.912259270443785297e+00 1.141009595866313508e+30
3.945756685154500065e+00 1.135428226562974560e+30
3.979540910302543644e+00 1.129795496554635990e+30
4.013614401606586668e+00 1.124110922475618414e+30
4.047979635811593369e+00 1.118477761633752607e+30
4.082639110868809595e+00 1.113052003094989305e+30
4.117595346117351340e+00 1.107575585209995978e+30
4.152850882467362226e+00 1.102048008403522279e+30
4.188408282584657805e+00 1.096579868027138914e+30
4.224270131077028090e+00 1.091314192635065897e+30
4.260439034682101500e+00 1.085997795198771083e+30
4.296917622456851049e+00 1.080630196612246252e+30
4.333708545968647741e+00 1.075331069596910387e+30
4.370814479488022819e+00 1.070254796052524174e+30
4.408238120183082032e+00 1.065128008541986293e+30
4.445982188315509731e+00 1.059950195094855286e+30
4.484049427438330682e+00 1.054865379700210472e+30
4.522442604595315885e+00 1.050012853257993884e+30
4.561164510522155879e+00 1.045108587995040957e+30
4.600217959849255855e+00 1.040152071580683345e+30
4.639605791306354199e+00 1.035323849614244313e+30
4.679330867928894300e+00 1.030773985978862343e+30
4.719396077266075906e+00 1.026170281588706383e+30
4.759804331590776982e+00 1.021512233264106010e+30
4.800558568111268798e+00 1.017109125557140437e+30
4.841661749184657637e+00 1.013110363626735026e+30
4.883116862532245861e+00 1.009048286402552846e+30
4.924926921456733275e+00 1.004922504426158150e+30
4.967094965061185974e+00 1.001634240994943150e+30
